Transcription-Units,Genes of transcription unit,Left-End-Position,Right-End-Position,Transcription-Direction
 // ,G133T-2144 // G133T-2143,2088628 // 2088486,2088753 // 2088605,+
,G133T-2142,2087725,2088426,-
,G133T-2141,2086821,2087642,-
,G133T-2140,2086499,2086750,+
,G133T-2139,2085710,2086411,+
,G133T-2138,2084157,2085557,-
 // ,G133T-2137 // G133T-2136,2082632 // 2082432,2084122 // 2082632,+
 // ,G133T-2135 // G133T-2134,2081337 // 2080719,2082248 // 2081321,-
,G133T-2133,2080068,2080676,+
,G133T-2132,2079600,2079938,-
 // ,G133T-2131 // G133T-2130,2079180 // 2078804,2079368 // 2079193,+
 //  // ,G133T-213 // G133T-212 // G133T-211,188413 // 186457 // 185199,189738 // 188385 // 186443,-
,G133T-2129,2077105,2078439,-
,G133T-2128,2076784,2077020,-
,G133T-2127,2076276,2076749,+
,G133T-2126,2075281,2076177,-
 //  // ,G133T-2125 // G133T-2124 // G133T-2123,2074927 // 2074580 // 2073896,2075205 // 2074930 // 2074561,-
 // ,G133T-2122 // G133T-2121,2073022 // 2071648,2073870 // 2073006,+
,G133T-2120,2070759,2071373,-
,G133T-2119,2069306,2070523,-
,G133T-2118,2067680,2068924,-
,G133T-2117,2066997,2067587,-
 // ,G133T-2116 // G133T-2115,2066019 // 2064092,2066909 // 2066008,-
 // ,G133T-2114 // G133T-2113,2061029 // 2059760,2063863 // 2061013,-
,G133T-2112,2058745,2059710,+
,G133T-2111,2057189,2058526,-
 // ,G133T-2110 // G133T-2109,2056311 // 2054423,2057156 // 2056321,+
,G133T-2108,2052835,2054322,+
,G133T-2107,2052402,2052605,-
,G133T-2106,2051701,2052045,-
 // ,G133T-2105 // G133T-2104,2051382 // 2051114,2051615 // 2051377,+
,G133T-2103,2050571,2051047,-
,G133T-2102,2050357,2050584,+
,G133T-2101,2049947,2050279,-
,G133T-2100,2049381,2049872,-
,G133T-210,183419,185008,-
,G133T-21,22496,23149,-
,G133T-2099,2048604,2049230,-
,G133T-2098,2048118,2048288,+
,G133T-2097,2046265,2048040,-
,G133T-2096,2045154,2046017,-
 // ,G133T-2095 // G133T-2094,2043960 // 2042829,2044559 // 2043941,+
,G133T-2093,2041651,2042709,+
,G133T-2092,2041449,2041565,-
,G133T-2091,2040512,2041489,+
,G133T-2090,2039951,2040448,+
 //  // ,G133T-209 // G133T-208 // G133T-207,182375 // 181352 // 180349,183328 // 182356 // 181359,-
,G133T-2089,2038998,2039780,-
,G133T-2088,2038325,2038861,-
,G133T-2087,2037558,2038235,+
,G133T-2086,2037041,2037364,-
,G133T-2085,2036469,2037014,+
,G133T-2084,2035322,2036263,-
,G133T-2083,2034786,2035268,-
 // ,G133T-2082 // G133T-2081,2034008 // 2033427,2034709 // 2034002,-
 // ,G133T-2080 // G133T-2079,2032606 // 2031866,2033349 // 2032585,-
,G133T-2078,2031469,2031801,-
,G133T-2077,2028374,2030881,+
,G133T-2076,2026694,2028034,+
,G133T-2075,2025913,2026674,-
 // ,G133T-2074 // G133T-2073,2024009 // 2023541,2025811 // 2023999,-
,G133T-2072,2022499,2023341,-
,G133T-2071,2017679,2021284,-
,G133T-2070,2017297,2017632,+
,G133T-2069,2016795,2017088,-
 // ,G133T-2068 // G133T-2067,2016455 // 2015765,2016652 // 2016418,-
 //  // ,G133T-2066 // G133T-2065 // G133T-2064,2014405 // 2014267 // 2014110,2015520 // 2014404 // 2014250,+
,G133T-2063,2012492,2012947,-
,G133T-2062,2011946,2012119,-
,G133T-2061,2010970,2011887,-
,G133T-2060,2010056,2010715,+
,G133T-206,178631,179590,+
,G133T-2059,2009469,2009834,+
,G133T-2058,2008905,2009369,-
,G133T-2057,2008581,2008871,+
,G133T-2056,2008123,2008362,-
,G133T-2055,2006854,2007495,-
,G133T-2054,2003584,2006184,-
,G133T-2053,2002205,2002567,-
,G133T-2052,2000788,2001708,+
,G133T-2051,1999930,2000562,-
,G133T-2050,1999235,1999666,-
,G133T-205,177088,178524,+
,G133T-2049,1998184,1999062,+
,G133T-2048,1997211,1998083,-
,G133T-2047,1996293,1997087,+
 // ,G133T-2046 // G133T-2045,1995933 // 1995441,1996187 // 1995923,+
,G133T-2044,1994183,1995094,-
,G133T-2043,1993585,1994082,-
,G133T-2042,1992931,1993284,+
,G133T-2041,1991865,1992620,-
,G133T-2040,1991157,1991645,-
,G133T-204,176469,176705,-
,G133T-2039,1989856,1991034,-
,G133T-2038,1989318,1989623,-
,G133T-2037,1988294,1988977,+
,G133T-2036,1987000,1988037,+
,G133T-2035,1986150,1986827,-
,G133T-2034,1985182,1985880,-
,G133T-2033,1983694,1985145,+
,G133T-2032,1981684,1983369,-
,G133T-2031,1981275,1981568,+
,G133T-2030,1981109,1981231,+
 //  //  //  //  //  //  //  //  //  //  //  //  //  // ,G133T-203 // G133T-202 // G133T-201 // G133T-200 // G133T-199 // G133T-198 // G133T-197 // G133T-196 // G133T-195 // G133T-194 // G133T-193 // G133T-192 // G133T-191 // G133T-190 // G133T-189,176202 // 173219 // 171500 // 171200 // 168217 // 166498 // 166253 // 166168 // 166064 // 165958 // 165829 // 165752 // 165591 // 162608 // 160889,176317 // 176146 // 173054 // 171315 // 171144 // 168052 // 166325 // 166241 // 166137 // 166029 // 165901 // 165823 // 165706 // 165535 // 162443,+
,G133T-2029,1980430,1980834,-
,G133T-2028,1979764,1980057,+
,G133T-2027,1977655,1979697,+
 // ,G133T-2026 // G133T-2025,1976297 // 1974816,1977331 // 1976279,-
,G133T-2024,1973478,1974722,-
,G133T-2023,1972866,1973399,+
,G133T-2022,1972052,1972822,+
,G133T-2021,1971676,1971981,+
,G133T-2020,1970809,1971525,-
,G133T-2019,1970141,1970512,-
,G133T-2018,1970030,1970155,+
 // ,G133T-2017 // G133T-2016,1969100 // 1967988,1969915 // 1969103,-
,G133T-2015,1967034,1967936,+
 // ,G133T-2014 // G133T-2013,1962325 // 1960827,1966887 // 1962308,-
,G133T-2012,1959781,1960770,+
,G133T-2011,1958796,1959653,-
,G133T-2010,1956932,1958695,+
,G133T-2009,1956517,1956747,-
,G133T-2008,1955656,1956201,-
,G133T-2007,1955531,1955603,-
,G133T-2006,1954892,1955437,+
,G133T-2005,1953215,1954606,-
 // ,G133T-2004 // G133T-2003,1952104 // 1950595,1953081 // 1952070,-
 //  //  // ,G133T-2002 // G133T-2001 // G133T-2000 // G133T-1999,1942527 // 1934820 // 1927082 // 1923235,1950212 // 1942502 // 1934803 // 1927053,-
 // ,G133T-20 // G133T-19,22292 // 20823,22381 // 22157,+
,G133T-2,1939,3075,+
,G133T-1998,1922732,1923124,-
,G133T-1997,1921064,1922596,-
,G133T-1996,1920488,1920793,-
 //  //  //  //  //  // ,G133T-1995 // G133T-1994 // G133T-1993 // G133T-1992 // G133T-1991 // G133T-1990 // G133T-1989,1919255 // 1917562 // 1916218 // 1915982 // 1915068 // 1914265 // 1912719,1920397 // 1919211 // 1917552 // 1916203 // 1915967 // 1915047 // 1914248,-
,G133T-1988,1911350,1912549,-
,G133T-1987,1910705,1911301,+
 // ,G133T-1986 // G133T-1985,1909739 // 1909286,1910632 // 1909732,+
,G133T-1984,1907150,1908502,-
,G133T-1983,1905751,1907019,-
,G133T-1982,1905229,1905492,+
,G133T-1981,1903662,1905161,+
,G133T-1980,1901962,1903359,+
,G133T-1979,1901691,1901804,+
,G133T-1978,1900953,1901456,-
 // ,G133T-1977 // G133T-1976,1898486 // 1896515,1900906 // 1898482,+
,G133T-1975,1896187,1896312,-
,G133T-1974,1895709,1896116,+
,G133T-1973,1894958,1895539,-
,G133T-1972,1894583,1894870,-
 // ,G133T-1971 // G133T-1970,1894253 // 1893821,1894552 // 1894237,+
 // ,G133T-1969 // G133T-1968,1893485 // 1893302,1893736 // 1893448,+
,G133T-1967,1893076,1893237,+
,G133T-1966,1892519,1893031,+
,G133T-1965,1889718,1892447,+
 // ,G133T-1964 // G133T-1963,1889344 // 1889166,1889490 // 1889312,-
,G133T-1962,1888693,1889067,-
,G133T-1961,1888031,1888459,-
,G133T-1960,1887518,1888000,+
,G133T-1959,1887068,1887430,+
,G133T-1958,1886272,1886979,+
,G133T-1957,1885879,1886070,-
,G133T-1956,1885587,1885805,+
,G133T-1955,1885055,1885501,+
,G133T-1954,1882899,1884902,+
,G133T-1953,1882497,1882730,+
 // ,G133T-1952 // G133T-1951,1881780 // 1881450,1882433 // 1881761,+
,G133T-1950,1880677,1881294,-
,G133T-1949,1880194,1880340,+
,G133T-1948,1879701,1880135,+
,G133T-1947,1879044,1879493,-
,G133T-1946,1878259,1879017,+
,G133T-1945,1877719,1878033,+
 //  // ,G133T-1944 // G133T-1943 // G133T-1942,1875991 // 1875338 // 1874566,1877631 // 1875994 // 1875372,+
 //  // ,G133T-1941 // G133T-1940 // G133T-1939,1873205 // 1872124 // 1870532,1874419 // 1873215 // 1872094,+
,G133T-1938,1870051,1870239,+
,G133T-1937,1869310,1869744,-
,G133T-1936,1869024,1869245,+
,G133T-1935,1868675,1868812,+
,G133T-1934,1868408,1868596,-
,G133T-1933,1868033,1868233,-
,G133T-1932,1867431,1867787,-
,G133T-1931,1866549,1867271,-
,G133T-1930,1865257,1866096,+
 // ,G133T-1929 // G133T-1928,1864819 // 1864705,1864983 // 1864818,+
,G133T-1927,1864155,1864415,-
 // ,G133T-1926 // G133T-1925,1863118 // 1862627,1863552 // 1863088,+
,G133T-1924,1860979,1862163,-
,G133T-1923,1859504,1860877,+
,G133T-1922,1858416,1859051,-
,G133T-1921,1858090,1858203,+
 // ,G133T-1920 // G133T-1919,1856434 // 1854946,1857933 // 1856283,+
,G133T-1918,1853550,1854704,-
 // ,G133T-1917 // G133T-1916,1851812 // 1850390,1853413 // 1851781,+
,G133T-1915,1849095,1849565,+
,G133T-1914,1848791,1848955,+
,G133T-1913,1848403,1848678,+
,G133T-1912,1848063,1848359,+
,G133T-1911,1847276,1847917,+
,G133T-1910,1846770,1846886,-
,G133T-1909,1846204,1846716,+
,G133T-1908,1845078,1845869,+
,G133T-1907,1844574,1845008,+
,G133T-1906,1844136,1844387,+
,G133T-1905,1843661,1844005,+
,G133T-1904,1841463,1842797,+
,G133T-1903,1840997,1841404,+
 // ,G133T-1902 // G133T-1901,1839622 // 1838429,1840887 // 1839604,+
,G133T-1900,1837244,1838209,+
,G133T-1899,1836865,1837089,-
,G133T-1898,1835850,1836617,-
,G133T-1897,1835166,1835786,+
 //  // ,G133T-1896 // G133T-1895 // G133T-1894,1834127 // 1832007 // 1831655,1835116 // 1834109 // 1832047,+
 // ,G133T-1893 // G133T-1892,1831131 // 1830828,1831412 // 1831100,+
 // ,G133T-1891 // G133T-1890,1830411 // 1829427,1830632 // 1830371,+
,G133T-1889,1828923,1829327,+
,G133T-1888,1828550,1828825,-
 // ,G133T-1887 // G133T-1886,1828096 // 1827729,1828353 // 1828082,-
,G133T-1885,1827263,1827715,+
,G133T-1884,1826486,1827193,+
,G133T-1883,1826030,1826206,+
,G133T-1882,1824422,1825636,-
,G133T-1881,1824273,1824470,+
,G133T-1880,1823487,1824176,-
,G133T-188,159776,160540,-
,G133T-1879,1823052,1823408,-
,G133T-1878,1821604,1822821,-
,G133T-1877,1813928,1821559,+
 //  //  //  //  //  //  //  //  // ,G133T-1876 // G133T-1875 // G133T-1874 // G133T-1873 // G133T-1872 // G133T-1871 // G133T-1870 // G133T-1869 // G133T-1868 // G133T-1867,1784590 // 1770976 // 1755843 // 1755049 // 1754239 // 1752980 // 1751762 // 1751506 // 1749141 // 1748170,1797378 // 1784574 // 1770974 // 1755798 // 1755009 // 1754242 // 1752979 // 1751754 // 1751444 // 1749144,+
,G133T-187,159107,159775,+
,G133T-1866,1747987,1748112,-
,G133T-1865,1746800,1747666,+
,G133T-1864,1745750,1746427,+
,G133T-1863,1744943,1745560,+
,G133T-1862,1744265,1744822,-
,G133T-1861,1743655,1744110,-
 // ,G133T-1860 // G133T-1859,1741374 // 1738782,1743257 // 1741358,+
,G133T-186,158512,159069,-
,G133T-1858,1738104,1738649,+
 // ,G133T-1857 // G133T-1856,1737411 // 1735880,1737842 // 1737409,+
 // ,G133T-1855 // G133T-1854,1734554 // 1733498,1735732 // 1734541,+
,G133T-1853,1732972,1733232,+
,G133T-1852,1731978,1732772,+
,G133T-1851,1730347,1731909,+
,G133T-1850,1728896,1730071,+
,G133T-185,157418,158476,+
,G133T-1849,1727682,1728728,+
 //  // ,G133T-1848 // G133T-1847 // G133T-1846,1726259 // 1725660 // 1724696,1727509 // 1726241 // 1725610,+
,G133T-1845,1723870,1724403,+
,G133T-1844,1723501,1723758,+
 //  // ,G133T-1843 // G133T-1842 // G133T-1841,1722656 // 1721351 // 1720074,1723420 // 1722637 // 1721354,+
 // ,G133T-1840 // G133T-1839,1718665 // 1718525,1719894 // 1718662,+
 // ,G133T-184 // G133T-183,156609 // 156106,157322 // 156549,+
,G133T-1838,1717822,1718547,+
,G133T-1837,1715315,1717678,+
 // ,G133T-1836 // G133T-1835,1714972 // 1714238,1715184 // 1714975,+
,G133T-1834,1712455,1714122,+
 //  //  //  //  // ,G133T-1833 // G133T-1832 // G133T-1831 // G133T-1830 // G133T-1829 // G133T-1828,1711405 // 1710160 // 1709028 // 1708300 // 1707404 // 1707283,1712277 // 1711374 // 1710068 // 1708902 // 1708297 // 1707402,+
,G133T-1827,1706961,1707218,+
 // ,G133T-1826 // G133T-1825,1705654 // 1704655,1706883 // 1705614,+
,G133T-1824,1702421,1704538,+
 // ,G133T-1823 // G133T-1822,1700872 // 1699924,1701822 // 1700853,+
 //  //  // ,G133T-1821 // G133T-1820 // G133T-1819 // G133T-1818,1699495 // 1699194 // 1697047 // 1696797,1699842 // 1699472 // 1699197 // 1697027,+
,G133T-182,155153,155920,+
,G133T-1817,1696499,1696723,+
 // ,G133T-1816 // G133T-1815,1695319 // 1694814,1696434 // 1695284,+
,G133T-1814,1690171,1694484,+
 //  //  //  // ,G133T-1813 // G133T-1812 // G133T-1811 // G133T-1810 // G133T-1809,1688368 // 1687073 // 1685909 // 1685047 // 1684252,1690062 // 1688335 // 1687060 // 1685847 // 1685034,+
 // ,G133T-181 // G133T-180,154297 // 153839,154689 // 154276,+
 // ,G133T-1808 // G133T-1807,1683564 // 1682840,1684121 // 1683562,+
,G133T-1806,1681813,1682694,+
,G133T-1805,1680971,1681711,+
 //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  //  // ,G133T-1804 // G133T-1803 // G133T-1802 // G133T-1801 // G133T-1800 // G133T-1799 // G133T-1798 // G133T-1797 // G133T-1796 // G133T-1795 // G133T-1794 // G133T-1793 // G133T-1792 // G133T-1791 // G133T-1790 // G133T-1789 // G133T-1788 // G133T-1787 // G133T-1786 // G133T-1785 // G133T-1784 // G133T-1783 // G133T-1782 // G133T-1781 // G133T-1780 // G133T-1779 // G133T-1778 // G133T-1777 // G133T-1776,1680324 // 1679531 // 1679008 // 1678382 // 1677893 // 1675853 // 1674774 // 1673882 // 1672785 // 1670752 // 1669637 // 1668858 // 1668605 // 1667901 // 1667249 // 1666872 // 1665710 // 1664722 // 1664266 // 1664054 // 1663220 // 1662776 // 1661316 // 1660689 // 1660234 // 1658915 // 1658166 // 1657157 // 1655549,1680827 // 1680295 // 1679508 // 1679011 // 1678363 // 1677871 // 1675847 // 1674772 // 1673885 // 1672785 // 1670719 // 1669637 // 1668850 // 1668566 // 1667908 // 1667234 // 1666846 // 1665720 // 1664688 // 1664269 // 1664014 // 1663198 // 1662779 // 1661303 // 1660677 // 1660231 // 1658918 // 1658173 // 1657144,+
 // ,G133T-18 // G133T-17,19968 // 19062,20558 // 19946,+
 //  // ,G133T-179 // G133T-178 // G133T-177,152934 // 152127 // 151261,153677 // 152924 // 152130,+
 //  // ,G133T-1775 // G133T-1774 // G133T-1773,1655168 // 1654705 // 1654316,1655488 // 1655157 // 1654705,+
 //  //  // ,G133T-1772 // G133T-1771 // G133T-1770 // G133T-1769,1653157 // 1651714 // 1651152 // 1650225,1653936 // 1653117 // 1651697 // 1651139,+
,G133T-1768,1648850,1650157,+
,G133T-1767,1646699,1648774,+
,G133T-1766,1645618,1646511,+
 // ,G133T-1765 // G133T-1764,1644655 // 1643469,1645557 // 1644626,+
 //  // ,G133T-1763 // G133T-1762 // G133T-1761,1643015 // 1641288 // 1640489,1643296 // 1643018 // 1641256,+
,G133T-1760,1639570,1640418,+
,G133T-176,150440,151285,+
,G133T-1759,1639080,1639427,+
 //  // ,G133T-1758 // G133T-1757 // G133T-1756,1638209 // 1637688 // 1637297,1638940 // 1638212 // 1637683,+
 // ,G133T-1755 // G133T-1754,1636930 // 1636658,1637175 // 1636930,+
 // ,G133T-1753 // G133T-1752,1635212 // 1634866,1636552 // 1635198,+
,G133T-1751,1634204,1634689,-
 // ,G133T-1750 // G133T-1749,1633178 // 1629598,1634167 // 1633158,+
,G133T-175,149950,150312,+
,G133T-1748,1628748,1629497,+
,G133T-1747,1628375,1628608,+
 //  //  // ,G133T-1746 // G133T-1745 // G133T-1744 // G133T-1743,1627551 // 1626605 // 1625585 // 1625005,1628291 // 1627558 // 1626586 // 1625571,+
,G133T-1742,1622848,1624896,+
 // ,G133T-1741 // G133T-1740,1621968 // 1621280,1622870 // 1621942,+
,G133T-174,148928,149872,+
 // ,G133T-1739 // G133T-1738,1619480 // 1619102,1621141 // 1619464,+
,G133T-1737,1618637,1618825,-
,G133T-1736,1617768,1618412,+
 //  //  //  //  //  //  //  //  // ,G133T-1735 // G133T-1734 // G133T-1733 // G133T-1732 // G133T-1731 // G133T-1730 // G133T-1729 // G133T-1728 // G133T-1727 // G133T-1726,1617042 // 1616141 // 1614180 // 1613422 // 1612324 // 1610977 // 1610037 // 1609550 // 1607106 // 1605889,1617695 // 1617037 // 1616126 // 1614186 // 1613415 // 1612320 // 1610990 // 1610032 // 1609523 // 1607109,+
 //  //  // ,G133T-173 // G133T-172 // G133T-171 // G133T-170,148356 // 147970 // 147834 // 147582,148751 // 148335 // 147947 // 147800,+
 //  // ,G133T-1725 // G133T-1724 // G133T-1723,1605605 // 1604987 // 1604710,1605808 // 1605601 // 1604979,+
,G133T-1722,1603770,1604633,+
,G133T-1721,1601003,1603675,+
,G133T-1720,1599169,1600881,-
 //  // ,G133T-1719 // G133T-1718 // G133T-1717,1598641 // 1597875 // 1597099,1599129 // 1598660 // 1597872,+
 //  //  // ,G133T-1716 // G133T-1715 // G133T-1714 // G133T-1713,1596407 // 1595246 // 1594133 // 1593420,1597000 // 1596394 // 1595197 // 1594121,+
 //  //  //  //  //  //  // ,G133T-1712 // G133T-1711 // G133T-1710 // G133T-1709 // G133T-1708 // G133T-1707 // G133T-1706 // G133T-1705,1592376 // 1591660 // 1590756 // 1589986 // 1586774 // 1585695 // 1584412 // 1583514,1593008 // 1592379 // 1591691 // 1590756 // 1589989 // 1586789 // 1585698 // 1584428,+
,G133T-1704,1582061,1583368,+
,G133T-1703,1581342,1581887,+
 // ,G133T-1702 // G133T-1701,1580248 // 1579782,1581159 // 1580246,+
,G133T-1700,1579305,1579679,+
 // ,G133T-1699 // G133T-1698,1576395 // 1576292,1579160 // 1576405,+
,G133T-1697,1575559,1576053,+
,G133T-1696,1574692,1575465,+
 //  //  // ,G133T-1695 // G133T-1694 // G133T-1693 // G133T-1692,1574359 // 1573897 // 1573208 // 1572410,1574631 // 1574352 // 1573900 // 1573201,+
,G133T-1691,1571957,1572202,+
,G133T-1690,1570522,1571874,+
,G133T-169,147330,147533,+
,G133T-1689,1569598,1570392,+
,G133T-1688,1568668,1569450,+
,G133T-1687,1567809,1568528,+
,G133T-1686,1566817,1567746,+
,G133T-1685,1562321,1566622,+
 // ,G133T-1684 // G133T-1683,1560870 // 1559512,1562018 // 1560834,+
 // ,G133T-1682 // G133T-1681,1558973 // 1558287,1559338 // 1558955,+
 // ,G133T-1680 // G133T-1679,1557530 // 1556742,1558225 // 1557533,+
 // ,G133T-168 // G133T-167,146524 // 145874,147270 // 146527,+
 //  //  //  //  //  // ,G133T-1678 // G133T-1677 // G133T-1676 // G133T-1675 // G133T-1674 // G133T-1673 // G133T-1672,1555701 // 1554578 // 1553355 // 1551939 // 1550964 // 1549368 // 1547252,1556612 // 1555669 // 1554455 // 1553294 // 1551938 // 1550852 // 1549192,+
 //  // ,G133T-1671 // G133T-1670 // G133T-1669,1544994 // 1544635 // 1543660,1547135 // 1544988 // 1544595,+
,G133T-1668,1543144,1543590,+
,G133T-1667,1541414,1543033,+
,G133T-1666,1540447,1541343,+
,G133T-1665,1539805,1540287,-
,G133T-1664,1539167,1539748,+
,G133T-1663,1538983,1539099,-
,G133T-1662,1538302,1538820,+
 // ,G133T-1661 // G133T-1660,1538089 // 1536845,1538274 // 1538092,-
 //  //  //  //  //  //  //  //  //  //  //  //  // ,G133T-166 // G133T-165 // G133T-164 // G133T-163 // G133T-162 // G133T-161 // G133T-160 // G133T-159 // G133T-158 // G133T-157 // G133T-156 // G133T-155 // G133T-154 // G133T-153,144524 // 144082 // 143872 // 143352 // 142971 // 142399 // 141971 // 141754 // 141192 // 140854 // 140448 // 140144 // 139921 // 139743,145819 // 144522 // 144051 // 143858 // 143333 // 142938 // 142369 // 141939 // 141731 // 141165 // 140816 // 140407 // 140121 // 139931,+
 // ,G133T-1659 // G133T-1658,1535803 // 1535019,1536828 // 1535801,+
,G133T-1657,1533612,1534838,-
 // ,G133T-1656 // G133T-1655,1533116 // 1532557,1533601 // 1533111,+
,G133T-1654,1532490,1532657,-
,G133T-1653,1532019,1532234,+
,G133T-1652,1531458,1531907,+
 // ,G133T-1651 // G133T-1650,1531103 // 1530689,1531342 // 1531087,+
 // ,G133T-1649 // G133T-1648,1529372 // 1528887,1530457 // 1529333,+
,G133T-1647,1528385,1528747,-
 //  //  //  // ,G133T-1646 // G133T-1645 // G133T-1644 // G133T-1643 // G133T-1642,1527460 // 1527101 // 1526475 // 1524607 // 1523504,1528353 // 1527433 // 1527098 // 1526475 // 1524574,+
,G133T-1641,1523306,1523419,+
,G133T-1640,1522347,1523264,+
,G133T-1639,1521072,1521992,-
,G133T-1638,1517223,1520669,+
,G133T-1637,1516081,1517148,+
,G133T-1636,1515966,1516082,-
,G133T-1635,1515450,1515731,+
,G133T-1634,1514423,1515352,+
,G133T-1633,1513835,1514320,-
,G133T-1632,1512503,1513831,+
,G133T-1631,1511719,1512348,-
,G133T-1630,1511427,1511636,-
,G133T-1629,1511054,1511371,+
,G133T-1628,1509159,1510997,+
,G133T-1627,1508858,1509046,-
,G133T-1626,1507974,1508585,-
 //  //  // ,G133T-1625 // G133T-1624 // G133T-1623 // G133T-1622,1507641 // 1507108 // 1506854 // 1504936,1507934 // 1507644 // 1507123 // 1506864,+
,G133T-1621,1503074,1504639,-
,G133T-1620,1502901,1503050,+
,G133T-1619,1501808,1502722,-
 //  //  // ,G133T-1618 // G133T-1617 // G133T-1616 // G133T-1615,1501302 // 1500479 // 1500299 // 1500094,1501730 // 1501276 // 1500448 // 1500339,+
,G133T-1614,1499273,1499911,-
,G133T-1613,1498974,1499240,+
,G133T-1612,1497317,1498789,-
,G133T-1611,1497158,1497277,+
,G133T-1610,1496365,1496739,-
 //  //  // ,G133T-1609 // G133T-1608 // G133T-1607 // G133T-1606,1494908 // 1493575 // 1492483 // 1491364,1496320 // 1494903 // 1493460 // 1492479,+
,G133T-1605,1490323,1490940,+
,G133T-1604,1489897,1490055,-
,G133T-1603,1489233,1489787,-
,G133T-1602,1488424,1489197,+
,G133T-1601,1488063,1488203,+
 // ,G133T-1600 // G133T-1599,1487829 // 1486156,1488038 // 1487823,-
,G133T-16,17609,18865,+
,G133T-1598,1484389,1486122,+
,G133T-1597,1483569,1484234,+
 // ,G133T-1596 // G133T-1595,1482673 // 1481371,1483506 // 1482657,+
,G133T-1594,1480903,1481181,+
,G133T-1593,1479612,1480631,-
,G133T-1592,1479377,1479511,-
,G133T-1591,1478035,1479267,-
,G133T-1590,1477090,1478001,+
,G133T-1589,1475411,1477033,+
,G133T-1588,1474961,1475230,-
,G133T-1587,1474346,1474927,+
 //  // ,G133T-1586 // G133T-1585 // G133T-1584,1472294 // 1471368 // 1470616,1474201 // 1472279 // 1471371,+
 //  //  // ,G133T-1583 // G133T-1582 // G133T-1581 // G133T-1580,1469143 // 1468454 // 1467320 // 1466620,1470336 // 1469146 // 1468453 // 1467315,+
 // ,G133T-1579 // G133T-1578,1464696 // 1462927,1466510 // 1464684,+
 //  //  //  //  // ,G133T-1577 // G133T-1576 // G133T-1575 // G133T-1574 // G133T-1573 // G133T-1572,1462470 // 1462004 // 1461483 // 1460230 // 1459193 // 1458543,1462703 // 1462477 // 1462004 // 1461522 // 1460212 // 1459142,+
,G133T-1571,1457441,1458406,-
,G133T-1570,1456825,1457400,+
,G133T-1569,1455913,1456359,+
,G133T-1568,1455299,1455841,+
,G133T-1567,1454259,1455062,-
,G133T-1566,1453977,1454222,+
 // ,G133T-1565 // G133T-1564,1452791 // 1452011,1453915 // 1452721,+
 //  // ,G133T-1563 // G133T-1562 // G133T-1561,1451451 // 1450542 // 1450076,1451906 // 1451435 // 1450552,+
,G133T-1560,1449083,1449964,+
,G133T-1559,1448491,1448934,+
,G133T-1558,1448162,1448353,+
,G133T-1557,1447504,1448022,+
,G133T-1556,1447155,1447394,+
,G133T-1555,1446916,1447080,+
,G133T-1554,1445286,1446509,+
,G133T-1553,1444585,1445133,+
,G133T-1552,1442175,1443905,+
,G133T-1551,1441110,1441874,+
,G133T-1550,1440107,1440967,-
,G133T-1549,1439556,1440059,-
,G133T-1548,1438188,1439480,-
,G133T-1547,1437598,1438062,-
,G133T-1546,1436670,1437554,+
,G133T-1545,1436278,1436439,-
,G133T-1544,1434895,1436076,-
,G133T-1543,1433064,1434884,+
,G133T-1542,1430786,1432900,+
,G133T-1541,1429676,1430449,-
,G133T-1540,1428771,1429637,+
,G133T-1539,1426666,1428633,+
,G133T-1538,1425851,1426531,-
,G133T-1537,1424808,1425836,+
,G133T-1536,1424491,1424730,+
 // ,G133T-1535 // G133T-1534,1422688 // 1422422,1424400 // 1422688,+
,G133T-1533,1420225,1422324,+
,G133T-1532,1419130,1419996,+
,G133T-1531,1418102,1419067,+
,G133T-1530,1417870,1417995,-
,G133T-1529,1416729,1417820,+
,G133T-1528,1416360,1416563,-
,G133T-1527,1414409,1416322,+
,G133T-1526,1413676,1414173,+
,G133T-1525,1412288,1413625,+
,G133T-1524,1411544,1412170,+
,G133T-1523,1411389,1411550,-
,G133T-1522,1411051,1411245,+
,G133T-1521,1410700,1410885,-
,G133T-1520,1410289,1410579,+
 // ,G133T-152 // G133T-151,138839 // 138494,139495 // 138835,+
,G133T-1519,1410050,1410181,+
,G133T-1518,1409916,1410032,-
,G133T-1517,1409451,1409606,+
,G133T-1516,1408676,1409374,+
 // ,G133T-1515 // G133T-1514,1408352 // 1407137,1408579 // 1408336,+
,G133T-1513,1405910,1406656,+
,G133T-1512,1405385,1405741,-
,G133T-1511,1405149,1405268,-
 //  //  // ,G133T-1510 // G133T-1509 // G133T-1508 // G133T-1507,1404329 // 1403580 // 1403147 // 1402486,1404826 // 1404311 // 1403587 // 1403145,+
,G133T-1506,1401130,1402173,+
,G133T-1505,1398666,1400636,-
,G133T-1504,1397471,1398283,-
,G133T-1503,1396714,1397499,-
,G133T-1502,1396237,1396674,+
,G133T-1501,1394524,1396026,-
,G133T-1500,1394065,1394496,+
 //  //  //  // ,G133T-150 // G133T-149 // G133T-148 // G133T-147 // G133T-146,137308 // 136989 // 136366 // 135709 // 135361,138141 // 137276 // 136989 // 136338 // 135669,+
,G133T-15,15915,17381,+
,G133T-1499,1393722,1393979,+
,G133T-1498,1393199,1393519,-
